Ethernet Type,Packet Length,Service,Source IP,Destination IP,Source Port,Destination Port,Protocol,TCP Flags,Checksum,TCP Window Size,ICMP Type
IPv6,89,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x3cb7,0,0
IPv6,87,UDP,2a00:1450:400b:c01::9d,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,61227,QUIC,0,0x3c8f,0,0
IPv6,90,UDP,2606:4700::6812:15ce,2001:bb6:48d0:da00:7c5c:1087:a562:a487,443,54007,QUIC,0,0x3cd4,0,0
IPv6,105,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2606:4700::6812:15ce,54007,443,QUIC,0,0x7ff4,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9d,62261,443,UDP,0,0x620d,0,0
IPv6,1110,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9d,62261,443,UDP,0,0xea0f,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0x880f,0,0
IPv6,1292,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0x7a3e,0,0
IPv6,144,UDP,2001:bb6:48d0:da00:7c5c:1087:a562:a487,2a00:1450:400b:c03::9c,56974,443,QUIC,0,0x84a7,0,0
IPv6,100,UDP,fe80::95ca:d278:281a:9d45,fe80::a7b:12ff:fec1:d237,50156,53,DNS,0,0x3d93,0,0
IPv6,100,UDP,fe80::95ca:d278:281a:9d45,fe80::a7b:12ff:fec1:d237,63909,53,DNS,0,0x95f7,0,0
IPv6,100,UDP,fe80::95ca:d278:281a:9d45,fe80::a7b:12ff:fec1:d237,52683,53,DNS,0,0x7d92,0,0
IPv4,1287,UDP,192.168.1.6,34.160.152.31,57578,443,UDP,0,0x061e,0,0
